JEPPIAAR ENGINEERING COLLEGE,http://www.jeppiaarcollege.org//jeppiaar/
ABOUT US,http://www.jeppiaarcollege.org//jeppiaar/?q=node/13
CHAIRMAN'S MESSAGE,http://www.jeppiaarcollege.org//jeppiaar/?q=node/137
DIRECTOR'S MESSAGE,http://www.jeppiaarcollege.org//jeppiaar/?q=node/139
OBJECTIVES,http://www.jeppiaarcollege.org//jeppiaar/?q=node/16
CERTIFICATIONS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/140
ADMINISTRATION,http://www.jeppiaarcollege.org//jeppiaar/?q=node/141
MANDATORY DISCLOSURE,http://www.jeppiaarcollege.org//jeppiaar/?q=node/19
academic facilities,http://www.jeppiaarcollege.org//jeppiaar/?q=node/151
200913 Batch,http://www.jeppiaarcollege.org//jeppiaar/?q=node/153
201014 BATCH,http://jeppiaarcollege.org/jeppiaar/rank/2010-14/all.pdf
AWARDS & SCHOLARSHIPS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/159
ELIGIBILITY,http://www.jeppiaarcollege.org//jeppiaar/?q=node/22
CIRCULARS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/236
SCHEDULES,http://www.jeppiaarcollege.org//jeppiaar/?q=node/237
TEACHING AIDS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/24
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/90
Lab Facilities,http://www.jeppiaarcollege.org//jeppiaar/?q=node/164
Research,http://www.jeppiaarcollege.org//jeppiaar/?q=node/92
ACHIEVEMENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/232
Rank holders,http://www.jeppiaarcollege.org//jeppiaar/?q=node/125
201014 BATCH,http://jeppiaarcollege.org/jeppiaar/rank/2010-14/aero.pdf
EVENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/278
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/233
LAB FACILITIES,http://www.jeppiaarcollege.org//jeppiaar/?q=node/96
RANK HOLDERS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/220
201014 BATCH,http://jeppiaarcollege.org/jeppiaar/rank/2010-14/bio.pdf
EVENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/279
RANK HOLDERS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/221
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/152
LAB FACILITIES,http://www.jeppiaarcollege.org//jeppiaar/?q=node/158
RANK HOLDERS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/222
201014 BATCH,http://jeppiaarcollege.org/jeppiaar/rank/2010-14/civil.pdf
RESEARCH,http://www.jeppiaarcollege.org//jeppiaar/?q=node/107
ACHIEVEMENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/109
EVENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/280
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/155
LAB FACILITIES,http://www.jeppiaarcollege.org//jeppiaar/?q=node/156
RANK HOLDERS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/223
201014 BATCH,http://jeppiaarcollege.org/jeppiaar/rank/2010-14/cse.pdf
EVENTS,http://jeppiaarcollege.org/jeppiaar/?q=node/265
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/114
RANK HOLDERS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/310
201014 BATCH,http://jeppiaarcollege.org/jeppiaar/rank/2010-14/mecse.pdf
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/207
LAB FACILITIES,http://www.jeppiaarcollege.org//jeppiaar/?q=node/213
RANK HOLDERS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/224
201014 BATCH,http://jeppiaarcollege.org/jeppiaar/rank/2010-14/EEE.pdf
EVENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/282
RANK HOLDERS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/225
201014 BATCH,http://jeppiaarcollege.org/jeppiaar/rank/2010-14/PED.pdf
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/208
LAB FACILITIES,http://www.jeppiaarcollege.org//jeppiaar/?q=node/214
RANK HOLDERS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/226
201014 BATCH,http://jeppiaarcollege.org/jeppiaar/rank/2010-14/ece.pdf
EVENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/283
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/209
LAB FACILITIES,http://www.jeppiaarcollege.org//jeppiaar/?q=node/215
RANK HOLDERS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/227
201014 BATCH,http://jeppiaarcollege.org/jeppiaar/rank/2010-14/EIE.pdf
RESEARCH,http://www.jeppiaarcollege.org//jeppiaar/?q=node/277
EVENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/284
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/210
LAB FACILITIES,http://www.jeppiaarcollege.org//jeppiaar/?q=node/216
RANK HOLDERS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/228
201014 BATCH,http://jeppiaarcollege.org/jeppiaar/rank/2010-14/it.pdf
EVENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/285
About,http://www.jeppiaarcollege.org//jeppiaar/?q=node/168
LAB FACILITIES,http://www.jeppiaarcollege.org//jeppiaar/?q=node/217
RANK HOLDERS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/229
201014 BATCH,http://jeppiaarcollege.org/jeppiaar/rank/2010-14/MECH.pdf
EVENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/286
About,http://www.jeppiaarcollege.org//jeppiaar/?q=node/170
RANK HOLDERS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/316
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/211
LAB FACILITIES,http://www.jeppiaarcollege.org//jeppiaar/?q=node/218
RANK HOLDERS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/230
201014 BATCH,http://jeppiaarcollege.org/jeppiaar/rank/2010-14/mba.pdf
EVENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/287
About,http://www.jeppiaarcollege.org//jeppiaar/?q=node/171
Department of English,http://www.jeppiaarcollege.org//jeppiaar/?q=node/173
DEPARTMENT OF MATHEMATICS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/251
DEPARTMENT OF PHYSICS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/252
DEPARTMENT OF CHEMISTRY,http://www.jeppiaarcollege.org//jeppiaar/?q=node/253
EVENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/288
CAMPUS INFRASTRUCTURE,http://www.jeppiaarcollege.org//jeppiaar/?q=node/38
LABORATORY FACILITIES,http://www.jeppiaarcollege.org//jeppiaar/?q=node/187
LIBRARY,http://www.jeppiaarcollege.org//jeppiaar/?q=node/190
TRANSPORT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/241
DINING HALL & CANTEEN,http://www.jeppiaarcollege.org//jeppiaar/?q=node/191
MEDICAL FACILITY,http://www.jeppiaarcollege.org//jeppiaar/?q=node/192
AUDITORIUM & CONFERENCE HALL,http://www.jeppiaarcollege.org//jeppiaar/?q=node/193
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/293
ACHIEVEMENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/292
MEDIA,http://www.jeppiaarcollege.org//jeppiaar/?q=node/321
BANKING FACILITY,http://www.jeppiaarcollege.org//jeppiaar/?q=node/47
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/150
ACTIVITIES,http://www.jeppiaarcollege.org//jeppiaar/?q=node/269
ACHIEVEMENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/272
GALLERY,http://www.jeppiaarcollege.org//jeppiaar/?q=node/271
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/197
Blood Donation Camp 2014,http://www.jeppiaarcollege.org//jeppiaar/?q=node/144
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/263
EVENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/265
ACHIEVEMENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/266
IEEE,http://www.jeppiaarieee.org
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/290
EVENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/291
ANTI RAGGING,http://www.jeppiaarcollege.org//jeppiaar/?q=node/276
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/268
CIIYI,http://www.jeppiaarcollege.org//jeppiaar/?q=node/328
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/329
ACTIVITIES,http://www.jeppiaarcollege.org//jeppiaar/?q=node/330
NEWS & REPORTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/331
UPCOMING EVENTS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/332
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/160
CIRCULARS,http://www.jeppiaarcollege.org//jeppiaar/?q=node/240
Alumini Home,http://www.jeppiaarcollege.org//jeppiaar/?q=node/129
Alumini Registration,https://docs.google.com/forms/d/12n3L8eoxt5KbBiULBBS07XflwzoLe6JYaz_Muw7Efng/viewform
Placements Discussion,http://www.jeppiaarcollege.org//jeppiaar/?q=forum/17
ABOUT,http://www.jeppiaarcollege.org//jeppiaar/?q=node/275
MOUs,http://www.jeppiaarcollege.org//jeppiaar/?q=node/297
INFRASTRUCTURE,http://www.jeppiaarcollege.org//jeppiaar/?q=node/234
Graduation Day 2014,http://www.jeppiaarcollege.org//jeppiaar/?q=node/167
Republic Day '14,http://www.jeppiaarcollege.org//jeppiaar/?q=node/127
Press and Media,http://www.jeppiaarcollege.org//jeppiaar/?q=node/163
Reach Us,http://www.jeppiaarcollege.org//jeppiaar/?q=node/174
mail us,http://www.jeppiaarcollege.org//jeppiaar/?q=node/121
INTRANET MAIL,http://gmail.com
FACEBOOK,https://www.facebook.com/pages/Jeppiaar-Engineering-College/608549585922202
"Wednesday, July 1",http://jeppiaarcollege.org/jeppiaar/?q=event-created/month/2015-07
"National Level Technical Workshop on ""Fundamentals of LabView and its applications"" on 16th and 17th July 2015 by E & I department. Click Here!!!",http://www.jeppiaarcollege.org/../jeppiaar/brouchures/eie/3.pdf
"61 Anna University ranks, 4 gold medals and one silver medal for 20102014 Batch students",http://www.jeppiaarcollege.org/../jeppiaar/rank/2010-14/all.pdf
Welcome To Jeppiaar Engineering College,http://www.jeppiaarcollege.org//jeppiaar/?q=node/1
Create new account,http://www.jeppiaarcollege.org//jeppiaar/?q=user/register
Request new password,http://www.jeppiaarcollege.org//jeppiaar/?q=user/password
Generate a new captcha,http://www.jeppiaarcollege.org//jeppiaar/?q=captcha/refresh/user_login_block
Click Here to check Student Performance,http://coe1.annauniv.edu/
Achiever's Day 2015,http://www.jeppiaarcollege.org//jeppiaar/?q=node/340
Hostel day 2015,http://www.jeppiaarcollege.org//jeppiaar/?q=node/339
Click here for certificate verification,http://www.jeppiaarcollege.directverify.in
61 Anna University ranks including 4 Gold medals and a silver medal for 2014 Batch,http://www.jeppiaarcollege.org//jeppiaar/?q=node/324
National Employability award 2015 for Jeppiaar Engineering College,http://www.jeppiaarcollege.org//jeppiaar/?q=node/327
JEPPIAAR ICON AWARDS 2015,http://www.jeppiaarcollege.org//jeppiaar/?q=node/326
Click Here for More,http://jeppiaarcollege.org/jeppiaar/?q=node/325
Click Here for more!!!,http://jeppiaarcollege.org/jeppiaar/?q=node/338
ICONSTEM 2015,http://www.jeppiaarcollege.org//jeppiaar/?q=node/337
Click Here for More!!!,http://www.jeppiaarcollege.org/jeppiaar/?q=node/336
Workshop on EUCALIPTUS by IT Department,http://www.jeppiaarcollege.org//jeppiaar/?q=node/335
Click Here for More!!!,http://www.jeppiaarcollege.org/jeppiaar/?q=node/334
Graduation Day 2015,http://www.jeppiaarcollege.org//jeppiaar/?q=node/323
Click Here for More !!!,http://jeppiaarcollege.org/jeppiaar/?q=node/322
Zymphonies,http://www.zymphonies.com
"Wednesday, July 1",http://www.jeppiaarcollege.org/jeppiaar/?q=event-created/month/2015-07
"Workshop conducted for 2 days ""ARDUINOBOTICS""",http://jeppiaarcollege.org/jeppiaar/?q=node/333
INAUGURATION,http://docs.google.com/viewer?url=jeppiaarcollege.org/jeppiaar/csi/1.doc
ONE DAY SOFT SKILL PROGRAM,http://docs.google.com/viewer?url=jeppiaarcollege.org/jeppiaar/csi/2.docx
COMPUTERESE SCHOOL PROGRAM,http://docs.google.com/viewer?url=jeppiaarcollege.org/jeppiaar/csi/3.docx
WORKSHOP ON PYTHON,http://docs.google.com/viewer?url=jeppiaarcollege.org/jeppiaar/csi/4.docx
NATIONAL WORKSHOP ON DEMYSTIFYING CLOUD & BIG DATA COMPUTING,http://docs.google.com/viewer?url=jeppiaarcollege.org/jeppiaar/csi/5.docx
Motivation For Paper Presentation,http://docs.google.com/viewer?url=jeppiaarcollege.org/jeppiaar/csi/6.doc
Paper Presentation Competition,http://docs.google.com/viewer?url=jeppiaarcollege.org/jeppiaar/csi/7.docx
scrum software engg,http://docs.google.com/viewer?url=jeppiaarcollege.org/jeppiaar/csi/8.doc
National Level Project Expo,http://docs.google.com/viewer?url=jeppiaarcollege.org/jeppiaar/csi/9.docx
